day,date,time,artist,event,location,row,ticket_info,price,retailer,time_of_search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",46,Mobile Tickets 2 - 6 Tickets,113,vividseats,3/27/19 23:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",43,Mobile Tickets 2 - 6 Tickets,114,vividseats,3/27/19 23:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",46,Mobile Tickets 2 - 4 Tickets,114,vividseats,3/27/19 23:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",46,Mobile Tickets 2 - 4 Tickets,115,vividseats,3/27/19 23:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",44,Mobile Tickets 2 - 4 Tickets,115,vividseats,3/27/19 23:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",46,Mobile Tickets 2 - 4 Tickets,116,vividseats,3/27/19 23:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",44,Mobile Tickets 2 - 6 Tickets,116,vividseats,3/27/19 23:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",45,Mobile Tickets 2 - 6 Tickets,117,vividseats,3/27/19 23:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",43,Mobile Tickets 1 - 3 Tickets,117,vividseats,3/27/19 23:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",45,Mobile Tickets 2 - 6 Tickets,118,vividseats,3/27/19 23:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",45,Mobile Tickets 2 - 6 Tickets,119,vividseats,3/27/19 23:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",46,Mobile Tickets 2 - 6 Tickets,120,vividseats,3/27/19 23:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",39,Mobile Tickets 2 Tickets,121,vividseats,3/27/19 23:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",47,Mobile Tickets - Zone Seating 1 - 4 Tickets,131,vividseats,3/27/19 23:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
